question,user_input,retrieved_contexts,reference_contexts,non_llm_context_precision_with_reference,non_llm_context_recall
RSS Feed of all Projects,RSS Feed of all Projects,"['## Inputs/Outputs:\n- Input: User requests a RSS/Atom feed for all projects.\n- Output: A list of all projects with a link to each ticket page is delivered through the RSS/Atom feed.', '## Purpose\nThe purpose of this feature is to provide a RSS/Atom feed for all projects. This feature also enables users to access a list of all projects with a link to each ticket page, similar to the HTML view on the Redmine projects page. The feed should deliver a list of all projects, not just the newest ones.', '## description\nFor my Browser-Bookmarks I need a RSS/Atom Feed, which delivers a list of all Projects. With a Link to each Ticket page. It should be like here: https://www.redmine.org/projects But the Atom-Feed on this page delivers the ""newest projects"" instead of ""all projects"" as in the HTML view. Is there any way to get this? Thank you for your support.', '## Topic\nRSS Feed Of All Projects', '## Inputs/Outputs:\n- Input: Users with non-admin privileges interact with the system to view a list of all projects.\n- Output: A list of all projects and sub-projects is displayed to the user.']","['For my Browser-Bookmarks I need a RSS/Atom Feed, which delivers a list of all Projects. With a Link to each Ticket page.\r\nIt should be like here: https://www.redmine.org/projects\r\nBut the Atom-Feed on this page delivers the ""newest projects"" instead of ""all projects"" as in the HTML view.\r\nIs there any way to get this?\r\nThank you for your support.']",0.3333333333,1.0
Issue watchers to have groups in addition to users,Issue watchers to have groups in addition to users,"['## Topic\nIssue Watchers To Have Groups In Addition To Users', '## Purpose\nThe purpose of this feature is to enable the addition of user groups as watchers for issues. This feature allows users to assign multiple users at once to observe issues, improving issue management and collaboration. The purpose of this feature is to enhance the user experience by providing a more efficient way to manage watchers.', '## Inputs/Outputs:\n- Input: Users select groups to be added to a watcher list.\n- Output: The watcher list contains groups in addition to individual users.', '## Topic\nAllow Adding User Groups As Watchers For Issues', '## Purpose\nThe purpose of this feature is to allow users to add groups to watcher lists in addition to individual users. This feature also enables users to efficiently add multiple watchers at once, reducing the time and effort required to manage watcher lists. The feature also avoids the possibility of accidentally leaving out individuals when adding multiple watchers.']",['Currently each user must be selected one by one to be added to a watcher list.\r\n\r\nWhat I propose is that this list also could contain groups.\r\n\r\nIn our business we have a large team and generally we would like to add ~10 watchers per issue. This would be a great time saver and avoid accidentally leaving out individuals.'],0.0,0.0
"""Copy link"" feature for issue and issue journal","""Copy link"" feature for issue and issue journal","['## Topic\n""copy Link"" Feature For Issue And Issue Journal', '## Purpose\nThe purpose of this feature is to enable users to copy links to issues and journals. This feature allows users to easily share issue and journal links. It also provides a convenient way to access issue and journal links by copying them to the clipboard.', '## Purpose\nThe purpose of this feature is to provide a convenient way to share issue and issue journal URLs. This feature enables users to copy simple URLs from the view, allowing users to share issues and issue journals more easily. This feature also improves the user experience by reducing the length of the copied URLs.', '## Inputs/Outputs:\n- Input: Users copy the URL of an issue or issue journal from the view.\n- Output: A simple URL is copied, without unnecessary parameters.', '## description\nAdded the feature to copy issue and journal links by #34703. I think it would be convenient if that feature could also be used in the context menu. If you have selected one issue: * Copy to https://redmine-host/issues/:id If you have selected multiple issue: * Copy to https://redmine-host/issues?issue_id=1%2C2&set_filter=1&status_id=%2A (https://redmine-host/issues?issue_id=1,2&set_filter=1&status_id=*) !{width: 50%; border: 1px solid #ccc}after-accessing-the-copied-url.png!']","['When you are looking at a issue with Redmine and want to share the URL, if you copy the URL with a browser, it will be a long URL with many unnecessary parameters such as issue_count and prev_issue_id.\r\n\r\nI think it would be convenient to be able to copy a simple URL from the view.\r\n\r\n* URL of the issue to be copied： @https://<your redmine>/issues/1@\r\n* URL of the issue journal to be copied： @http://<your redmine>/issues/1#note-1@']",0.0,0.0
Define Workflow per Project,Define Workflow per Project,"['## Topic\nDefine Workflow Per Project', '## Inputs/Outputs:\n- Input: User creates a new project and defines a custom workflow for that project.\n- Output: A new project is created with a custom workflow defined, allowing users to manage and track project progress.', '## Purpose\nThe purpose of this feature is to enable users to define workflows for multiple projects in Redmine. This feature allows users to create and manage project-specific workflows, improving project management and organization. The feature also enables users to define custom workflows for each project, allowing for more flexibility and adaptability.', '## Topic\nCustom Email Sender Per Project', '## description\nIt would be a great security feature to be able to define session expiry length on a per user/per group basis. At the moment the session length will be the same for all users set up on the server']","['We are using Redmine for our project management with Agile Plugin.\r\n\r\nI am unable to define workflows for multiple projects. I have created status and the workflow is also defined. \r\n\r\nLet\'s say for Project1 the workflow is ""InDiscussion->InDevelopment->InQA->ReadyForDeployment""\r\n\r\nI would like to create a workflow for Project2 with workflow ""Start->Approve->Done""\r\n\r\nLet me know how to achieve this.\r\n\r\nEnvironment:\r\n  Redmine version                4.1.1.stable\r\n  Ruby version                   2.6.5-p114 (2019-10-01) [x86_64-linux]\r\n  Rails version                  5.2.4.2\r\n  Environment                    production\r\n  Database adapter               Mysql2\r\n  Mailer queue                   ActiveJob::QueueAdapters::AsyncAdapter\r\n  Mailer delivery                smtp\r\nSCM:\r\n  Subversion                     1.7.14\r\n  Git                            1.8.3.1\r\n  Filesystem                     \r\nRedmine plugins:\r\n  redmine_agile                  1.5.4']",0.0,0.0
Add CSS class for relation type to related issues list,Add CSS class for relation type to related issues list,"['## Topic\nAdd CSS Class For Relation Type To Related Issues List', '## Purpose\nThe purpose of this feature is to add CSS classes for relation types in the related issues list. This feature also enables users to visually distinguish between different relation types in the list, allowing for easier navigation and identification of related issues.', '## Inputs/Outputs:\n- Input: Users interact with the related issues list in issue details.\n- Output: The related issues list displays CSS classes for relation types.', ""## description\nThere is a function @css_classes_for@ in @IssueRelation@ but only used when displaying relation column in query results. It's useful to add classes in relations list in issue details."", '## Topic\nAdd Css Class To External Links In Markdown']","[""There is a function @css_classes_for@ in @IssueRelation@ but only used when displaying relation column in query results.\r\nIt's useful to add classes in relations list in issue details.""]",0.249999999975,1.0
"Updating project status, or archiving with REST","Updating project status, or archiving with REST","['## Topic\nUpdating Project Status, Or Archiving With REST', '## Purpose\nThe purpose of this feature is to allow users to update project status or archive projects using the REST API. This feature enables users to synchronize project status across platforms. The feature also allows users to close projects in Redmine when they are closed in another platform.', '## Topic\nUpdating Journal Notes Via REST API', '## Inputs/Outputs:\n- Input: Users interact with project closing, re-opening, or archiving functionality.\n- Output: Specific confirmation questions are displayed to users.', '## Topic\nAsk More Specific Confirmation Questions When Closing/reopening/archiving Projects']","[""Hi Redminers,\r\n\r\nI've searched and checked google, the forums and documentation, but cannot find any way to close projects while using the REST api.\r\nOur redmine instance is synced with another platform, and is updated using the REST api. But now projects are closing in the other platform and stay open in redmine. This is resolving in quite some clutter at the moment.\r\n\r\nI would like to do a patch request with status=0 for example.\r\n\r\nIs this a bug, existing but undocumented or a new feature?\r\n\r\nThanks a lot in advance!\r\n\r\n( if it's currently not possible, could someone help me creating a patch for this? )\r\n\r\n- Jonas""]",0.0,0.0
Bulk edit for version list view,Bulk edit for version list view,"['## Purpose\nThe purpose of this feature is to enable bulk editing of version status and attributes in the version list view. This feature also allows users to apply changes to multiple versions at once, reducing the need for individual clicks. The bulk edit form will support both custom and standard fields.', '## Topic\nBulk Edit For Version List View', '## Topic\nSupport Bulk Update State Of Version.', '## description\nI hadn\'t noticed that I could bulk edit issues and time entries for a long time. I think it would be easier to notice the existence of the bulk edit feature if the edit button was displayed as ""Bulk Edit"" only when multiple elements are selected in the context menu. Currently, it is always displayed as ""Edit"". After changes: |!issue-context-menu.png!|!spent-time-context-menu.png!|', '## description\nI just met the problem to do a thousands click when i want to have many version status set in one step. It would be great to have a similar javascript context menu for version view like we have for issues. Escpecially the status attribute but also a bulk edit form for beeing able to apply attrib changes /custom and standard fields) to all versions then would be very useful.']",['I just met the problem to do a thousands click when i want to have many version status set in one step. It would be great to have a similar javascript context menu for version view like we have for issues.\r\nEscpecially the status attribute but also a bulk edit form for beeing able to apply attrib changes /custom and standard fields) to all versions then would be very useful.'],0.19999999998,1.0
Ability to self-register only from ceratain domains,Ability to self-register only from ceratain domains,"['## Topic\nAbility To Self-register Only From Ceratain Domains', '## Inputs/Outputs:\n- Input: User attempts to self-register with an email address from a specific domain zone.\n- Output: The system approves or denies the registration based on the specified domain zones.', '## Topic\nAdd Option To Decide Default Value For ""I Don\'t Want To Be Notified Of Changes That I Make Myself""', '## Topic\nAllow Restrict Auto Create Accounts For Sender Domains By List', '## description\nIt would be nice, if there would be a option(s) which restrict auto create accounts for new users only to specific sender domains.']","[""Could you add ability to restrict email domains for new users by few domain zones (e.x. sysctem can approve xxx@domain.ru, xxx@domain2.ru but deny any other zones)? It's very useful feature in small company's without centralized account management.\r\n\r\nthank you!""]",0.0,0.0
Open GANTT for more than 24months,Open GANTT for more than 24months,"['## Topic\nOpen GANTT For More Than 24months', '## Purpose\nThe purpose of this feature is to extend the range of the gantt timeline. This feature also allows users to display more than 24 months of data on the gantt chart. The possible range should be extended to more than 24 months (maybe 48 or a configurable value).', '## description\nCurrently the gantt chart can only display up to 24 months. Every bigger value is ignored and sets the chart back to 6 months. There is no obvious reason for this constraint, so the possible range should be extended to more than 24 months (maybe 48 or a configurable value).', '## Inputs/Outputs:\n- Input: User attempts to display more than 24 months of data on the gantt chart.\n- Output: The gantt chart displays the specified range of data, up to a configurable value.', ""## description\nHi, we have projects that run for more than 24months and it is necessary to print a gantt chart over the whole project. I'd like to increase it. I suppose, changes necessary are in: lib/redmine/helpers/gantt.rb line 68: replace 24 by any number you like. Maybe we can make this a setting? Additionally, the PNG generation needs some adaptation to fit the entire sheet on one page (font size, month/year shortened to month/2-digit-year)""]","[""Hi,\r\n\r\nwe have projects that run for more than 24months and it is necessary to print a gantt chart over the whole project.\r\nI'd like to increase it.\r\n\r\nI suppose, changes necessary are in:\r\nlib/redmine/helpers/gantt.rb\r\n\r\nline 68: replace 24 by any number you like. Maybe we can make this a setting?\r\nAdditionally, the PNG generation needs some adaptation to fit the entire sheet on one page (font size, month/year shortened to month/2-digit-year)""]",0.19999999998,1.0
Setup GITLAB and Redmine work together,Setup GITLAB and Redmine work together,"['## Topic\nSetup GITLAB And Redmine Work Together', '## Inputs/Outputs:\n- Input: Users interact with GitLab to configure Redmine as an issue tracking tool.\n- Output: GitLab uses Redmine for issue tracking.', ""## Purpose\nThe purpose of this feature is to integrate GitLab with Redmine for issue tracking. This feature enables users to leverage Redmine's issue tracking capabilities within GitLab. It also allows users to manage issues in a centralized location."", '## description\nGitlab must use redline as a tool for tracking issues.', '## description\nThe ""Blame"" view of GitHub and Gitlab has a feature called ""View blame prior to this change"". With the feature, you can easily jump to an older change of the line. I think it would be useful if Redmine also has the feature. Currently, it requires some manual steps to see older changes in the ""Annotate"" view of Redmine. !{width: 634px; border: 1px solid grey;}.gitlab-view-blame-prior-to-this-change.png!']",['Gitlab must use redline as a tool for tracking issues.'],0.249999999975,1.0
